page	task	sample	Number of organisations	Number of attachments	Largest attachment	Total size	Number of updates	Number of downloads
council-tax-appeals-property-details-questionnaire		not	0.01	0.02	0.02785683	0.04187298	0.01	0.00000000
council-tax-base-calculation		not	0.01	0.05	0.13136244	0.22472134	0.03	0.00000000
counsel-matrix-details-of-counsel-claims-paid-to-date		not	0.01	0.01	0.00734825	0.00734825	0.02	0.00000000
countryside-stewardship-authorise-an-agent		not	0.04	0.01	0.10883265	0.10883265	0.02	0.00000000
countryside-stewardship-building-maintenance-plan-and-log		not	0.04	0.01	0.08094969	0.08094969	0.01	0.00000000
countryside-stewardship-building-wildlife-assessment		not	0.04	0.01	0.03351717	0.03351717	0.01	0.00000000
countryside-stewardship-capital-grant-application-form		not	0.04	0.04	0.11905317	0.25450134	0.08	0.00000000
countryside-stewardship-common-land-and-shared-grazing-supplementary-application		not	0.04	0.01	0.01730700	0.01730700	0.01	0.00000000
countryside-stewardship-consent-for-soil-sampling-on-scheduled-monuments		not	0.04	0.01	0.00835571	0.00835571	0.01	0.00000000
countryside-stewardship-ditch-dyke-and-rhine-restoration-assessment		not	0.04	0.01	0.01897154	0.01897154	0.01	0.00000000
countryside-stewardship-farm-facts-template		not	0.02	0.01	0.01812468	0.01812468	0.01	0.00000000
countryside-stewardship-farm-visit-evaluation		not	0.02	0.01	0.01872988	0.01872988	0.01	0.00000000
countryside-stewardship-higher-tier-application-form		not	0.04	0.05	0.17404823	0.58064919	0.03	0.00000000
countryside-stewardship-hs6-and-hs7-structural-maintenance-plan-and-record-forms		not	0.02	0.02	0.01957808	0.03736601	0.01	0.00000000
countryside-stewardship-land-ownership-and-control-form		not	0.04	0.01	0.11483145	0.11483145	0.01	0.00000000
countryside-stewardship-livestock-record-keeping		not	0.04	0.02	0.01396351	0.02191210	0.02	0.00000000
countryside-stewardship-mid-tier-including-water-quality-capital-application-form		not	0.04	0.03	0.10216217	0.16985111	0.02	0.00000000
countryside-stewardship-organic-viability-plan		not	0.01	0.01	0.02118235	0.02118235	0.01	0.00000000
countryside-stewardship-permanent-grassland-with-very-low-input-options		not	0.04	0.03	0.03177567	0.05450401	0.01	0.00000000
countryside-stewardship-ponds-for-wildlife-and-historic-interest-assessment		not	0.02	0.01	0.02110605	0.02110605	0.01	0.00000000
countryside-stewardship-runoff-and-soil-erosion-risk-assessment		not	0.04	0.02	0.02186565	0.04072685	0.01	0.00000000
county-planning-matters-return-cps1-and-cps2		not	0.01	0.02	0.04318542	0.04668274	0.01	0.00000000
couple-information-form		not	0.01	0.01	0.05059366	0.05059366	0.01	0.00000000
court-funds-ask-for-an-investment-decision		not	0.01	0.01	0.05972033	0.05972033	0.01	0.00000000
court-funds-ask-for-payment-due-to-creditor		not	0.01	0.01	0.06202993	0.06202993	0.01	0.00000000
court-funds-ask-for-payment-due-to-security-holder		not	0.01	0.01	0.06493645	0.06493645	0.01	0.00000000
court-funds-ask-for-payment-for-a-part-36-offer		not	0.01	0.01	0.06794853	0.06794853	0.01	0.00000000
court-funds-ask-for-payment-of-funeral-expenses		not	0.01	0.01	0.05261707	0.05261707	0.01	0.00000000
court-funds-ask-for-payment-of-inheritance-tax		not	0.01	0.01	0.05352077	0.05352077	0.01	0.00000000
court-funds-ask-for-payment-to-payees-bank		not	0.01	0.01	0.06024055	0.06024055	0.01	0.00000000
court-funds-authority-to-access-account		not	0.01	0.01	0.05223064	0.05223064	0.01	0.00000000
court-funds-authority-to-pay-gifts-or-donate-to-charity		not	0.01	0.01	0.05324450	0.05324450	0.01	0.00000000
court-funds-change-of-name		not	0.01	0.01	0.05665588	0.05665588	0.01	0.00000000
court-funds-declaration-of-nearest-of-kin		not	0.01	0.01	0.06212339	0.06212339	0.01	0.00000000
court-funds-declaration-proving-representation		not	0.01	0.01	0.05965214	0.05965214	0.01	0.00000000
court-funds-deposit-request-life-assurance-payment		not	0.01	0.01	0.05212984	0.05212984	0.01	0.00000000
court-funds-deposit-request-rentcharges-payment		not	0.01	0.01	0.05144091	0.05144091	0.01	0.00000000
court-funds-deposit-schedule		not	0.01	0.01	0.06795158	0.06795158	0.01	0.00000000
court-funds-deposit-securities-into-an-account		not	0.01	0.01	0.06008530	0.06008530	0.01	0.00000000
court-funds-manage-a-childs-fund-pre-investment-hearing		not	0.01	0.01	0.06385870	0.06385870	0.01	0.00000000
court-funds-manage-a-protected-beneficiarys-fund		not	0.01	0.01	0.06381531	0.06381531	0.01	0.00000000
court-funds-notice-of-consent-to-pay-out-of-money-in-court		not	0.01	0.01	0.06404104	0.06404104	0.01	0.00000000
court-funds-payment-request		not	0.01	0.01	0.05221186	0.05221186	0.01	0.00000000
court-funds-payment-request-professional-deputies-only		not	0.01	0.01	0.05236950	0.05236950	0.01	0.00000000
court-funds-payment-schedule		not	0.01	0.01	0.07164507	0.07164507	0.01	0.00000000
court-funds-regular-payment-request		not	0.01	0.01	0.05245047	0.05245047	0.01	0.00000000
court-funds-request-for-deposit		not	0.01	0.01	0.05277386	0.05277386	0.01	0.00000000
court-funds-request-for-deposit-compulsory-purchase-payment		not	0.01	0.01	0.05273352	0.05273352	0.01	0.00000000
court-funds-request-for-deposit-court-of-protection		not	0.01	0.01	0.05149441	0.05149441	0.01	0.00000000
court-funds-sell-or-transfer-securities		not	0.01	0.01	0.06119051	0.06119051	0.01	0.00000000
court-funds-transfer-of-a-fund		not	0.01	0.01	0.05283241	0.05283241	0.01	0.00000000
court-funds-witness-statement		not	0.01	0.01	0.05852375	0.05852375	0.01	0.00000000
court-proceedings-insolvency-and-tax-liability-information-access-cit		not	0.01	0.02	0.05369244	0.06619539	0.04	0.00000000
cpet-sustainable-palm-oil-supplier-questionnaire-and-data-capture-template		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
credit-card-authorisation-form--2		not	0.01	0.01	0.01775875	0.01775875	0.02	0.00000000
credit-card-authorisation-form-algeria		not	0.01	0.01	0.01245022	0.01245022	0.01	0.00000000
credit-card-authorization-form		not	0.01	0.01	0.11363020	0.11363020	0.01	0.00000000
credit-card-payment-authorisation-form-hungary		not	0.01	0.01	0.00968151	0.00968151	0.01	0.00000000
credit-card-payment-authorisation-form-poland		not	0.01	0.01	0.01718197	0.01718197	0.01	0.00000000
creditdebit-card-authorisation-form		not	0.01	0.01	0.01891937	0.01891937	0.01	0.00000000
creditdebit-card-payment-authorisation-slip-sweden		not	0.01	0.01	0.05057840	0.05057840	0.01	0.00000000
creditdebit-card-payment-authorisation-slip-uganda		not	0.01	0.01	0.03633480	0.03633480	0.01	0.00000000
cremation-medical-certificate		not	0.01	0.01	0.00916052	0.00916052	0.01	0.00000000
criminal-court-cases-claim-fees-as-an-advocate-form-5145		not	0.01	0.01	0.00219030	0.00219030	0.01	0.00000000
criminal-court-costs-claim-back-costs-as-a-solicitor-form-5144		not	0.01	0.02	0.01653719	0.01959887	0.02	0.00000000
criminal-court-costs-claim-confiscation-fees-as-an-advocate		not	0.01	0.01	0.01351318	0.01351318	0.01	0.00000000
criminal-legal-aid-application-forms		not	0.01	0.07	0.07964478	0.29992542	0.02	0.00000000
crm1-collect-client-details-in-legal-aid-cases		not	0.01	0.01	0.01089449	0.01089449	0.01	0.00000000
crm10-apply-for-review-of-refusal-or-withdrawal-of-advocacy-assistance		not	0.01	0.01	0.00864096	0.00864096	0.01	0.00000000
crm11-generic-costs-claim-sheet		not	0.01	0.01	0.00905581	0.00905581	0.01	0.00000000
crm12-duty-solicitor-application-when-moving-firm		not	0.01	0.01	0.01520634	0.01520634	0.02	0.00000000
crm16-review-on-the-grounds-of-hardship		not	0.01	0.02	0.04198103	0.06690826	0.01	0.00000000
crm2-apply-for-advice-and-assistance-awaiting-police-interview		not	0.01	0.01	0.01016779	0.01016779	0.02	0.00000000
crm3-application-for-advocacy-assistance		not	0.01	0.01	0.00845728	0.00845728	0.01	0.00000000
crm7-non-standard-fee-magistrates-court-claim-and-appeal-form		not	0.01	0.02	0.09431515	0.11470299	0.02	0.00000000
crm8-assigned-counsels-fee-note		not	0.01	0.01	0.01161203	0.01161203	0.01	0.00000000
cross-border-transfers-of-patients-under-the-mental-health-act		not	0.01	0.03	0.07788916	0.16131411	0.02	0.00000000
csf-9-vat-declaration		not	0.01	0.01	0.01201382	0.01201382	0.01	0.00000000
csf2-capital-grant-scheme-claim-form		not	0.01	0.01	0.02232838	0.02232838	0.01	0.00000000
ctad-data-request-form		not	0.01	0.01	0.01842222	0.01842222	0.01	0.00000000
current-vacancies-foreign-and-commonwealth-office-international-secondment		not	0.01	0.01	0.03215990	0.03215990	0.01	0.00000000
customer-declaration-for-zero-rated-vat-supply-of-an-adapted-motor-vehicle-vat1615a		not	0.01	0.01	0.02631197	0.02631197	0.01	0.00000000
customer-declaration-of-specific-uses-of-the-scheduled-category-1-or-2-substances		not	0.01	0.01	0.00275230	0.00275230	0.01	0.00000000
customer-declaration-of-specific-uses-of-the-scheduled-category-1-or-2-substances-multiple-transactions		not	0.01	0.01	0.00275078	0.00275078	0.01	0.00000000
cw1-financial-eligibility-for-legal-aid-clients		not	0.01	0.01	0.02030859	0.02030859	0.01	0.00000000
cw1-pl-family-help-lower-public-law		not	0.01	0.01	0.01083689	0.01083689	0.01	0.00000000
cw3-extension-of-upper-cost-limit-in-controlled-work-cases		not	0.01	0.07	0.08211708	0.17914591	0.08	0.00000000
cw5-financial-eligibility-form-for-clients-wanting-family-mediation		not	0.01	0.01	0.01853294	0.01853294	0.01	0.00000000
cyber-implementation-plan-template		not	0.01	0.01	0.00297871	0.00297871	0.01	0.00000000
cyber-security-trade-mission-to-india		not	0.01	0.01	0.01605997	0.01605997	0.01	0.00000000
cyfreithiau-symlach-hawliau-cadarnach-fersiwn-gryno-o-ymgynghoriad-y-llywodraeth-ar-gyflenwi-nwyddau-gwasanaethau-a-chynnwys-digidol-ffurflen-ymateb		not	0.01	0.01	0.01291246	0.01291246	0.01	0.00000000
cystic-fibrosis-carrier-follow-up-form		not	0.01	0.01	0.00781994	0.00781994	0.01	0.00000000
cystic-fibrosis-inconclusive-test-follow-up-form		not	0.01	0.01	0.00823393	0.00823393	0.01	0.00000000
cystic-fibrosis-presumed-follow-up-form		not	0.01	0.01	0.00872450	0.00872450	0.01	0.00000000
czech-republic-credit-card-payment-authorization-form		not	0.01	0.01	0.02907190	0.02907190	0.01	0.00000000
d-day-70-application-form-for-award-of-the-legion-dhonneur		not	0.01	0.01	0.00456114	0.00456114	0.03	0.00000000
d777b-application-for-a-digital-tachograph-driver-card		not	0.01	0.01	0.65661354	0.65661354	0.07	0.00000000
d888-request-by-an-individual-for-information-from-their-driving-record		not	0.01	0.01	0.02844486	0.02844486	0.04	0.00000000
d8881-request-by-a-company-about-driver-entitlement		not	0.01	0.01	0.02267437	0.02267437	0.06	0.00000000
d9-application-to-register-a-non-gb-driving-licence		not	0.01	0.01	0.03402109	0.03402109	0.02	0.00000000
dadabhai-naoroji-awards-nomination-form		not	0.02	0.01	0.00092478	0.00092478	0.02	0.00000000
dangerous-goods-declaration-note		not	0.01	0.01	0.00234327	0.00234327	0.02	0.00000000
dangerous-goods-incident-reporting-form		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
data-protection-act-checklist-for-g-cloud-suppliers		not	0.01	0.01	0.01227093	0.01227093	0.01	0.00000000
data-submission-template-antenatal-and-newborn-screening		not	0.01	0.01	0.03256063	0.03256063	0.08	0.00000000
dbs-certificate-disputes-and-fingerprint-consent-forms-and-guidance-af14-af15		not	0.01	0.02	0.12570066	0.25011816	0.02	0.00000000
dbs-continuation-sheet		not	0.01	0.02	0.02191362	0.04225607	0.02	0.00000000
dbs-finance-invoicing-forms		not	0.01	0.22	0.10824471	0.81866369	0.01	0.00000000
dbs-finance-payments-nominate-a-bank-form		not	0.01	0.02	0.02086334	0.02956333	0.01	0.00000000
dbs-finance-queries		not	0.01	0.01	0.12538090	0.12538090	0.01	0.00000000
dbs-national-security-vetting-solution-guidance-for-subjects		not	0.01	0.01	0.09363728	0.09363728	0.04	0.00000000
dbs-referrals-form-and-guidance		not	0.01	0.03	0.03700991	0.07053642	0.07	0.00000000
dbs-update-service-early-confirmation-application-form		not	0.01	0.01	0.14906569	0.14906569	0.01	0.00000000
dealers-premises-for-eu-trade-in-sheep-and-goats-application		not	0.01	0.02	0.01247435	0.02359781	0.01	0.00000000
death-certificate-application-form		not	0.01	0.01	0.00486727	0.00486727	0.01	0.00000000
death-registration-form-france		not	0.01	0.01	0.01056747	0.01056747	0.01	0.00000000
death-registration-form-peru		not	0.01	0.01	0.03931322	0.03931322	0.01	0.00000000
decc-carbon-emissions-projections-foi-130776		not	0.01	0.01	0.17750092	0.17750092	0.01	0.00000000
declaration-for-civil-partnership-registration-vietnam		not	0.01	0.01	0.00332499	0.00332499	0.01	0.00000000
declaration-for-formation-of-civil-partnership-under-italian-law		not	0.01	0.01	0.01837597	0.01837597	0.03	0.00000000
declaration-of-conviction-for-tachograph-centres-gv-207a		not	0.01	0.01	0.02648764	0.02648764	0.01	0.00000000
declaration-of-paternity-maternity-taiwan		not	0.01	0.01	0.00223703	0.00223703	0.01	0.00000000
declaration-of-surrender-for-medical-reasons		not	0.01	0.01	0.00470343	0.00470343	0.01	0.00000000
declaration-of-the-disposal-of-catering-waste-from-international-means-of-transport		not	0.01	0.01	0.00439959	0.00439959	0.01	0.00000000
declaration-that-a-vehicle-is-new		not	0.01	0.01	0.01644506	0.01644506	0.03	0.00000000
declarelapseinvalidaterevoke-an-extension-of-a-supplementary-protection-certificate		not	0.01	0.03	0.01967382	0.04897451	0.01	0.00000000
declined-newborn-blood-spot-screening-template-letters		not	0.01	0.03	0.02149038	0.06402712	0.02	0.00000000
decommissioning-relief-deeds-claim-statement		not	0.01	0.01	0.00898800	0.00898800	0.01	0.00000000
deed-of-guarantee-for-payment-to-hmrc-commissioners-ce250		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
deer-apply-for-a-licence-to-take-them-alive		not	0.01	0.02	0.06099710	0.08841944	0.02	0.00000000
defence-air-safety-occurrence-report-dasor-forms		not	0.02	0.15	0.35825701	2.76238499	0.02	0.00000000
defence-confidential-occurrence-reporting-scheme-dcors-form		not	0.02	0.01	0.00410805	0.00410805	0.02	0.00000000
defence-medical-services-patient-satisfaction-survey		not	0.02	0.01	0.00696659	0.00696659	0.04	0.00000000
defence-postgraduate-medical-deanery-dpmd-external-training-form		not	0.01	0.02	0.01026649	0.01507883	0.06	0.00000000
defence-uk-radio-frequency-spectrum-sale-release-to-market-interaction-design-and-transact		not	0.01	0.01	0.02543507	0.02543507	0.01	0.00000000
defib1-online-confidential-medical-information		not	0.01	0.01	0.04248285	0.04248285	0.02	0.00000000
defra-approved-disinfectant-application		not	0.01	0.03	0.04178801	0.08964548	0.03	0.00000000
delivering-differently-expression-of-interest		not	0.02	0.01	0.02707453	0.02707453	0.01	0.00000000
delivering-differently-in-neighbourhoods		not	0.01	0.04	0.53124323	0.59742479	0.02	0.00000000
department-seeks-chair-of-the-commission-on-human-medicines		not	0.01	0.04	0.52932501	0.56899109	0.01	0.00000000
department-seeks-lay-member-of-the-scientific-advisory-committee-on-nutrition		not	0.01	0.01	0.01299105	0.01299105	0.01	0.00000000
deployment-form-for-land-and-groundwater-remediation		not	0.01	0.02	0.06412325	0.08000450	0.01	0.00000000
deputy-annual-report-accounting-for-your-actions		not	0.01	0.11	0.12137632	0.60537405	0.05	0.00000000
deputy-fees-remission-or-exemption		not	0.01	0.01	0.02752972	0.02752972	0.03	0.00000000
derecognition-of-a-non-independent-union-make-an-application		not	0.01	0.02	0.01793880	0.02596054	0.01	0.00000000
designated-premises-supervisor-forms-and-guidance		not	0.01	0.02	0.04397182	0.07755489	0.02	0.00000000
details-of-notifiable-alterations-or-application-for-a-change-of-plated-details-of-a-goods-motor-vehicle		not	0.01	0.01	0.06097240	0.06097240	0.01	0.00000000
developed-vetting-questionnaire-nsv002		not	0.01	0.01	0.39919300	0.39919300	0.02	0.00000000
developing-a-guild-for-further-education-outline-proposal-application-form		not	0.01	0.01	0.03422661	0.03422661	0.01	0.00000000
development-rights-notice-of-surrender-sr1		not	0.01	0.02	0.01638441	0.02022400	0.02	0.00000000
df5-request-for-a-statement-of-reasons-for-registrars-decision		not	0.01	0.01	0.10556097	0.10556097	0.01	0.00000000
df55-notice-of-appeal-to-the-appointed-person		not	0.01	0.01	0.10889082	0.10889082	0.01	0.00000000
dfid-supplier-portal-feedback-and-support-form		not	0.01	0.01	0.00487690	0.00487690	0.01	0.00000000
dg1-online-confidential-medical-information		not	0.01	0.01	0.04505033	0.04505033	0.03	0.00000000
dg1v-online-confidential-medical-information		not	0.01	0.01	0.04021997	0.04021997	0.01	0.00000000
diab1-confidential-medical-information		not	0.01	0.01	0.05100069	0.05100069	0.08	0.00000000
diagnostic-mycology-and-assays-referral-form		not	0.01	0.01	0.02136793	0.02136793	0.01	0.00000000
diphtheria-surveillance-form-for-follow-up		not	0.01	0.03	0.01583033	0.04702845	0.01	0.00000000
disability-discrimination-act-certificate-of-type-approval		not	0.01	0.01	0.13974209	0.13974209	0.03	0.00000000
disclaim-a-lasting-power-of-attorney		not	0.01	0.01	0.01760044	0.01760044	0.04	0.00000000
disclaim-an-enduring-power-of-attorney		not	0.01	0.01	0.06808596	0.06808596	0.02	0.00000000
disclosable-overriding-interests-di		not	0.01	0.02	0.01780682	0.02499866	0.02	0.00000000
disclosure-of-convictions-and-declaration		not	0.01	0.01	0.00684290	0.00684290	0.03	0.00000000
disclosure-of-information-application-and-response-forms		not	0.01	0.04	0.01580677	0.04201965	0.01	0.00000000
disregarding-convictions-for-decriminalised-sexual-offences		not	0.01	0.01	0.02438631	0.02438631	0.01	0.00000000
district-planning-matters-return-ps1-and-ps2		not	0.01	0.02	0.04712515	0.05089512	0.01	0.00000000
diversity-questionnaire-for-job-applications-to-dfid		not	0.01	0.01	0.02001390	0.02001390	0.01	0.00000000
diz1-online-confidential-medical-information		not	0.01	0.01	0.04231911	0.04231911	0.03	0.00000000
diz1v-online-confidential-medical-information		not	0.01	0.01	0.05803909	0.05803909	0.03	0.00000000
document-batch-information-form		not	0.01	0.01	0.00348253	0.00348253	0.01	0.00000000
documents-for-proceedings-request-registration-prd1		not	0.01	0.02	0.02506533	0.03199234	0.02	0.00000000
documents-list-dl		not	0.01	0.02	0.02462997	0.03025084	0.02	0.00000000
domestic-quota-swap-form		not	0.01	0.01	0.01998606	0.01998606	0.01	0.00000000
double-taxation-treaty-relief-form-dt-individual		not	0.01	0.01	0.04808750	0.04808750	0.01	0.00000000
double-taxation-treaty-relief-form-dtindividual-germany		not	0.01	0.01	0.07185736	0.07185736	0.01	0.00000000
double-taxation-treaty-relief-form-dtindividual-sweden		not	0.01	0.01	0.06670799	0.06670799	0.01	0.00000000
double-taxation-uk-real-estate-investment-trusts-form-uk-reit-dt-individual		not	0.01	0.01	0.02195854	0.02195854	0.01	0.00000000
double-taxation-united-kingdomaustralia-si-2003-number-3199-form-australia-individual-2003		not	0.01	0.01	0.04056892	0.04056892	0.01	0.00000000
double-taxation-united-kingdomcanada-si-1980-number-709-and-protocols-form-canadaindividual		not	0.01	0.01	0.04290848	0.04290848	0.01	0.00000000
double-taxation-united-kingdomireland-si-1976-number-2151-and-protocols-form-ireland-individual		not	0.01	0.01	0.03653584	0.03653584	0.01	0.00000000
double-taxation-united-kingdomjapan-si-2006-no-1924-form-japan-1-dt		not	0.01	0.01	0.04264250	0.04264250	0.01	0.00000000
double-taxation-united-kingdomnetherlands-si-1980-number-1961-and-protocols-form-netherlands-individual		not	0.01	0.01	0.05416136	0.05416136	0.01	0.00000000
double-taxation-united-kingdomnew-zealand-si-1984-number-365-and-protocols-form-new-zealand-individual		not	0.01	0.01	0.03677120	0.03677120	0.01	0.00000000
double-taxation-united-kingdomsouth-africa-si-2002-number-3138-form-south-africa-individual		not	0.01	0.01	0.03641357	0.03641357	0.01	0.00000000
double-taxation-united-kingdomspain-si-1976-number-1919-form-spain-individual		not	0.01	0.01	0.15719624	0.15719624	0.01	0.00000000
double-taxation-united-kingdomswitzerland-si-1978-number-1408-and-protocols-form-switzerland-individual		not	0.01	0.02	0.16899576	0.26080933	0.01	0.00000000
double-taxation-united-kingdomunited-states-of-america-si-2002-number-2848-form-us-individual-2002		not	0.01	0.01	0.04206018	0.04206018	0.01	0.00000000
dr1-online-confidential-medical-information		not	0.01	0.01	0.04670420	0.04670420	0.04	0.00000000
dr1v-online-confidential-medical-information		not	0.01	0.01	0.04195766	0.04195766	0.02	0.00000000
draft-claimants-form-et1		not	0.01	0.01	0.03618813	0.03618813	0.01	0.00000000
draft-notice-for-insertion-in-newspaper		not	0.01	0.01	0.00288820	0.00288820	0.01	0.00000000
draft-respondents-response-et3		not	0.01	0.01	0.01107121	0.01107121	0.01	0.00000000
drf55-notice-of-appeal-to-the-appointed-person		not	0.01	0.01	0.10775242	0.10775242	0.01	0.00000000
drivers-record-for-learner-drivers		not	0.01	0.01	0.05024052	0.05024052	0.01	0.00000000
driving-test-report-forms		not	0.01	0.02	0.39519291	0.78806896	0.01	0.00000000
drug-testing-police-sites		not	0.01	0.01	0.01726818	0.01726818	0.01	0.00000000
drugs-test-1-dt1-form		not	0.01	0.01	0.04043131	0.04043131	0.01	0.00000000
drugs-test-2-dt2--2		not	0.01	0.01	0.01620960	0.01620960	0.01	0.00000000
duplicate-public-service-vehicle-disc-form-psv451		not	0.01	0.01	0.03595295	0.03595295	0.02	0.00000000
duty-of-care-waste-transfer-note-template		not	0.01	0.02	0.04555569	0.04961920	0.02	0.00000000
duty-to-notify-the-home-office-of-potential-victims-of-modern-slavery		not	0.01	0.02	0.03389692	0.05496635	0.02	0.00000000
dwp-form-b16		not	0.01	0.03	0.04547386	0.08335733	0.01	0.00000000
dwp-leaflets-order-form		not	0.01	0.01	0.08251457	0.08251457	0.02	0.00000000
dwp-request-for-personal-information		not	0.01	0.08	0.01706839	0.06433105	0.03	0.00000000
dwp-statistical-summary-questionnaire		not	0.01	0.01	0.00246515	0.00246515	0.01	0.00000000
e-application-for-uk-compulsory-insurance-certificate-msf-3241		not	0.01	0.01	0.00754404	0.00754404	0.11	0.00000000
early-morning-alcohol-restriction-orders		not	0.01	0.02	0.00572777	0.01046810	0.01	0.00000000
early-years-and-childcare-providers-ey3-changes-to-individuals		not	0.01	0.01	0.02658529	0.02658529	0.02	0.00000000
early-years-business-and-finance-support-supplier-registration-form		not	0.01	0.02	0.13962307	0.27326765	0.01	0.00000000
early-years-capital-funding-call-for-expressions-of-interest		not	0.01	0.02	0.05598040	0.06331253	0.02	0.00000000
early-years-online-self-evaluation-form-sef-and-guidance-for-providers-delivering-the-early-years-foundation-stage		not	0.01	0.03	0.10001354	0.23089876	0.02	0.00000000
early-years-provision-in-schools-apply-for-disqualification-waiver		not	0.01	0.01	0.10047197	0.10047197	0.02	0.00000000
early-years-pupil-premium-model-document-and-letter-for-parents		not	0.01	0.04	0.01027470	0.02133923	0.04	0.00000000
ecmt-international-removal-permit		not	0.01	0.01	0.00788851	0.00788851	0.01	0.00000000
economic-operator-registration-and-identification-reports		not	0.01	0.01	0.02510710	0.02510710	0.01	0.00000000
edible-dormice-licence-to-trap-them		not	0.01	0.01	0.03079214	0.03079214	0.05	0.00000000
efa-contractors-framework-access-agreement-templates		not	0.01	0.02	0.01591177	0.03155317	0.01	0.00000000
efa-contractors-framework-confidentiality-agreement-templates		not	0.01	0.02	0.01465836	0.02832098	0.01	0.00000000
efa-suppliers-bank-details-form		not	0.02	0.02	0.05005732	0.09776583	0.01	0.00000000
egg-hatchery-and-chick-breeding-premises-registration		not	0.01	0.02	0.01079769	0.01997795	0.02	0.00000000
egg-marketing-technical-inspection-report		not	0.01	0.02	0.01656532	0.03180685	0.02	0.00000000
egg-packing-centre-application-for-designation		not	0.01	0.01	0.01748819	0.01748819	0.03	0.00000000
egg-packing-centre-registration		not	0.01	0.02	0.12630920	0.13543816	0.02	0.00000000
egg-production-site-registration		not	0.01	0.01	0.02720184	0.02720184	0.02	0.00000000
elect-to-keep-directors-residential-addresses-on-the-central-register-eh02c		not	0.01	0.01	0.02484207	0.02484207	0.01	0.00000000
elect-to-keep-register-of-directors-information-on-the-public-register-eh01c		not	0.01	0.01	0.02486105	0.02486105	0.01	0.00000000
elect-to-keep-register-of-secretaries-information-on-the-central-register-eh03c		not	0.01	0.01	0.02474089	0.02474089	0.01	0.00000000
election-petition-template		not	0.01	0.01	0.00087490	0.00087490	0.01	0.00000000
election-to-keep-information-from-register-of-directors-on-the-public-register-eh01		not	0.01	0.01	0.02210455	0.02210455	0.01	0.00000000
election-to-keep-information-from-register-of-directors-residential-address-on-the-public-register-eh02		not	0.01	0.01	0.02159910	0.02159910	0.01	0.00000000
election-to-keep-information-from-register-of-llp-members-residential-addresses-on-the-central-public-register-ll-eh02		not	0.01	0.01	0.02184334	0.02184334	0.01	0.00000000
election-to-keep-information-from-register-of-members-on-the-public-register-ll-eh01		not	0.01	0.01	0.02190876	0.02190876	0.01	0.00000000
election-to-keep-information-from-register-of-people-with-significant-control-on-the-public-register-eh04		not	0.01	0.01	0.02237806	0.02237806	0.01	0.00000000
election-to-keep-information-from-register-of-people-with-significant-control-psc-on-the-register-for-a-limited-liability-partnership-llp-ll-eh04		not	0.01	0.01	0.02105722	0.02105722	0.01	0.00000000
election-to-keep-information-from-register-of-secretaries-on-the-public-register-eh03		not	0.01	0.01	0.02201443	0.02201443	0.01	0.00000000
electric-vehicle-chargepoint-application-approval-for-existing-units		not	0.01	0.01	0.02287874	0.02287874	0.01	0.00000000
electric-vehicle-chargepoints-approval-for-new-units		not	0.01	0.01	0.06321335	0.06321335	0.01	0.00000000
electron-microscopy-referral-form		not	0.01	0.01	0.05557947	0.05557947	0.01	0.00000000
electronic-recording-systems-forms		not	0.01	0.06	0.39848137	0.49204302	0.02	0.00000000
emcs-fallback-airline-fallback-transfer-manifest-removal-authority-fb17a		not	0.01	0.01	0.00139341	0.00139341	0.01	0.00000000
emcs-fallback-change-of-destination-fcod		not	0.01	0.01	0.00451498	0.00451498	0.01	0.00000000
emcs-fallback-fallback-accompanying-document-fad		not	0.01	0.02	0.02262411	0.03015776	0.01	0.00000000
emcs-fallback-fallback-export-reception-list-fb21		not	0.01	0.01	0.00158195	0.00158195	0.01	0.00000000
emcs-fallback-fallback-schedule-of-import-entries-fb20		not	0.01	0.01	0.00152893	0.00152893	0.01	0.00000000
emcs-fallback-fallback-splitting-operation-fso1		not	0.01	0.01	0.04378014	0.04378014	0.01	0.00000000
emcs-fallback-long-term-fallback-inter-shed-removal-request-fb19		not	0.01	0.01	0.00119429	0.00119429	0.01	0.00000000
emcs-fallback-long-term-fallback-transhipment-inter-airport-removal-request-fb17f		not	0.01	0.01	0.00143528	0.00143528	0.01	0.00000000
emcs-fallback-notification-of-movement-starting-in-fallback-nomf		not	0.01	0.02	0.01546516	0.01968822	0.01	0.00000000
emcs-fallback-short-term-fallback-inter-shed-removal-request-fb15		not	0.01	0.01	0.00115566	0.00115566	0.01	0.00000000
emcs-fallback-short-term-fallback-request-for-inter-airporttransit-removal-fb16		not	0.01	0.01	0.00170116	0.00170116	0.01	0.00000000
employee-ownership-and-share-buy-backs-consultation-response-form		not	0.01	0.01	0.01809521	0.01809521	0.01	0.00000000
employee-request-that-is-not-valid-make-an-application		not	0.01	0.02	0.01818810	0.03470497	0.01	0.00000000
employer-notification-to-initiate-negotiations-make-a-complaint		not	0.01	0.02	0.01967840	0.03855524	0.01	0.00000000
employers-obligation-to-provide-information-on-numbers-make-a-complaint		not	0.01	0.02	0.01746664	0.03440132	0.01	0.00000000
employment-and-support-allowance-claim-form		not	0.01	0.03	0.17521000	0.24002104	0.05	0.00000000
