page	name	url	organisations
get-a-copy-of-a-child-abuse-assessment-or-child-protection-plan	Get a copy of a child abuse assessment or child protection plan	https://www.gov.uk/government/publications/get-a-copy-of-a-child-abuse-assessment-or-child-protection-plan	government-organisation:EA556
form-epb-environmental-permit-for-existing-small-sewage-discharges	Form EPB: application for an environmental permit: part B6.6 existing small sewage discharges to ground within a source protection zone 1	https://www.gov.uk/government/publications/form-epb-environmental-permit-for-existing-small-sewage-discharges	government-organisation:EA199
egg-packing-centre-registration	Egg packing centre: registration	https://www.gov.uk/government/publications/egg-packing-centre-registration	government-organisation:EA1079
trailer-first-test-application-form-vtg2	Trailer first test application form (VTG2)	https://www.gov.uk/government/publications/trailer-first-test-application-form-vtg2	government-organisation:EA570
adverse-possession-of-rentcharge-statement-of-truth-st2	Adverse possession of rentcharge: statement of truth (ST2)	https://www.gov.uk/government/publications/adverse-possession-of-rentcharge-statement-of-truth-st2	government-organisation:D69
pupil-information-profile-for-military-service-children	Pupil information profile for military service children	https://www.gov.uk/government/publications/pupil-information-profile-for-military-service-children	government-organisation:D17
registered-titles-under-power-of-sale-part-transfer-tp2	Registered title(s) under power of sale: part transfer (TP2)	https://www.gov.uk/government/publications/registered-titles-under-power-of-sale-part-transfer-tp2	government-organisation:D69
request-for-search	Request for search	https://www.gov.uk/government/publications/request-for-search	government-organisation:EA34
the-insolvent-companies-reports-on-conduct-of-directors-amendment-rules-2001	Directors' conduct D1 and D2 forms	https://www.gov.uk/government/publications/the-insolvent-companies-reports-on-conduct-of-directors-amendment-rules-2001	government-organisation:EA32
certificate-and-application-for-the-registration-of-a-place-of-religious-worship-for-the-solemnisation-of-marriages-form-78	Registration of a place of religious worship for the solemnisation of marriages: form 78	https://www.gov.uk/government/publications/certificate-and-application-for-the-registration-of-a-place-of-religious-worship-for-the-solemnisation-of-marriages-form-78	government-organisation:EA66
excise-movements-claim-for-repayment-of-excise-duty-hm6	Excise movements: claim for repayment of Excise Duty (HM6)	https://www.gov.uk/government/publications/excise-movements-claim-for-repayment-of-excise-duty-hm6	government-organisation:D25
court-funds-ask-for-an-investment-decision	Court funds: ask for an investment decision	https://www.gov.uk/government/publications/court-funds-ask-for-an-investment-decision	government-organisation:D18
application-or-access-to-birth-records-outside-england-and-wales	Getting your birth certificate information before adoption: if you don't live in the UK	https://www.gov.uk/government/publications/application-or-access-to-birth-records-outside-england-and-wales	government-organisation:EA66
application-to-start-invalidation-proceedings	Application to start invalidation proceedings	https://www.gov.uk/government/publications/application-to-start-invalidation-proceedings	government-organisation:EA34
district-planning-matters-return-ps1-and-ps2	'District' planning matters return (PS1 and PS2)	https://www.gov.uk/government/publications/district-planning-matters-return-ps1-and-ps2	government-organisation:D4
hepatitis-a-case-questionnaire	Hepatitis A: case questionnaire	https://www.gov.uk/government/publications/hepatitis-a-case-questionnaire	government-organisation:EA480
infectious-diseases-in-pregnancy-screening-annual-data-collection	Antenatal screening programmes: annual standards data collection	https://www.gov.uk/government/publications/infectious-diseases-in-pregnancy-screening-annual-data-collection	government-organisation:EA480
child-benefit-local-authority-or-care-trust-notification-ch193	Child Benefit: local authority or care trust notification (CH193)	https://www.gov.uk/government/publications/child-benefit-local-authority-or-care-trust-notification-ch193	government-organisation:D25
g1v-online-confidential-medical-information	G1V: report your medical condition	https://www.gov.uk/government/publications/g1v-online-confidential-medical-information	government-organisation:EA74
countryside-stewardship-mid-tier-including-water-quality-capital-application-form	Countryside Stewardship: Mid Tier (including water quality capital) application form	https://www.gov.uk/government/publications/countryside-stewardship-mid-tier-including-water-quality-capital-application-form	government-organisation:D7;government-organisation:D85;government-organisation:EA58;government-organisation:PB202
change-your-limited-liability-partnership-accounting-reference-date-ll-aa01	Change your limited liability partnership accounting reference date (LL AA01)	https://www.gov.uk/government/publications/change-your-limited-liability-partnership-accounting-reference-date-ll-aa01	government-organisation:EA26
application-to-reconsider-a-decision-for-a-certificate-of-entitlement-to-the-right-of-abode	Application to reconsider a decision for a certificate of entitlement to the right of abode	https://www.gov.uk/government/publications/application-to-reconsider-a-decision-for-a-certificate-of-entitlement-to-the-right-of-abode	government-organisation:OT554
industry-accreditation-request-form	DAIS accreditation request form and guidance	https://www.gov.uk/government/publications/industry-accreditation-request-form	government-organisation:D17
declaration-for-formation-of-civil-partnership-under-italian-law	Declaration for formation of civil partnership under Italian law	https://www.gov.uk/government/publications/declaration-for-formation-of-civil-partnership-under-italian-law	government-organisation:D13
intercountry-adoption-means-test-form	Intercountry adoption: means test form	https://www.gov.uk/government/publications/intercountry-adoption-means-test-form	government-organisation:D6
report-a-supply-problem-with-a-veterinary-medicine	Report a supply problem with a veterinary medicine	https://www.gov.uk/government/publications/report-a-supply-problem-with-a-veterinary-medicine	government-organisation:EA60
diagnostic-mycology-and-assays-referral-form	Diagnostic mycology and assays referral form	https://www.gov.uk/government/publications/diagnostic-mycology-and-assays-referral-form	government-organisation:EA480
charge-mortgage-assent-as2	Charge (mortgage): assent (AS2)	https://www.gov.uk/government/publications/charge-mortgage-assent-as2	government-organisation:D69
contracted-out-pension-schemes-notice-to-terminate-national-insurance-contributions-ca1886	Contracted-out pension schemes: notice to terminate National Insurance contributions (CA1886)	https://www.gov.uk/government/publications/contracted-out-pension-schemes-notice-to-terminate-national-insurance-contributions-ca1886	government-organisation:D25
share-schemes-company-share-option-plan-35	Share Schemes: Company Share Option Plan (35)	https://www.gov.uk/government/publications/share-schemes-company-share-option-plan-35	government-organisation:D25
re-register-your-public-limited-company-as-a-private-company-rr02	Re-register your public limited company as a private company (RR02)	https://www.gov.uk/government/publications/re-register-your-public-limited-company-as-a-private-company-rr02	government-organisation:EA26
give-proof-of-a-referral-to-a-domestic-violence-specialist-support-service	Give proof of a referral to a domestic violence specialist support service	https://www.gov.uk/government/publications/give-proof-of-a-referral-to-a-domestic-violence-specialist-support-service	government-organisation:EA556
animal-gathering-licence-application	Animal gathering: licence application	https://www.gov.uk/government/publications/animal-gathering-licence-application	government-organisation:EA1079
allowance-for-lowered-standard-of-occupation	Allowance for Lowered Standard of Occupation	https://www.gov.uk/government/publications/allowance-for-lowered-standard-of-occupation	government-organisation:D17;government-organisation:OT1087
give-notice-of-other-registrable-person-with-significant-control-psc03	Give notice of other registrable person with significant control (PSC03)	https://www.gov.uk/government/publications/give-notice-of-other-registrable-person-with-significant-control-psc03	government-organisation:EA26
income-tax-non-resident-merchant-seafarer-repayment-claim-r43m	Income Tax: non-resident merchant seafarer repayment claim (R43M)	https://www.gov.uk/government/publications/income-tax-non-resident-merchant-seafarer-repayment-claim-r43m	government-organisation:D25
yacht-rating-certificate-msf-4340	Yacht rating certificate (MSF 4340)	https://www.gov.uk/government/publications/yacht-rating-certificate-msf-4340	government-organisation:EA78
cna-1-application-form	CNA 1: Application form	https://www.gov.uk/government/publications/cna-1-application-form	government-organisation:PB1062
list-of-public-service-vehicles-psv430	Change your PSV operator’s licence vehicles (PSV430)	https://www.gov.uk/government/publications/list-of-public-service-vehicles-psv430	government-organisation:PB465
pfipf2ppp-forms	PFI/PF2/PPP forms	https://www.gov.uk/government/publications/pfipf2ppp-forms	government-organisation:D15;government-organisation:OT1166
application-for-a-digital-tachograph-workshop-card-d778b	Application for a digital tachograph workshop card (D778B)	https://www.gov.uk/government/publications/application-for-a-digital-tachograph-workshop-card-d778b	government-organisation:EA570
data-submission-template-antenatal-and-newborn-screening	Data submission template: antenatal and newborn screening	https://www.gov.uk/government/publications/data-submission-template-antenatal-and-newborn-screening	government-organisation:EA480
contracted-out-pension-schemes-termination-or-change-of-responsibility-to-an-overseas-scheme-ca1890	Contracted-out pension schemes: termination or change of responsibility to an overseas scheme (CA1890)	https://www.gov.uk/government/publications/contracted-out-pension-schemes-termination-or-change-of-responsibility-to-an-overseas-scheme-ca1890	government-organisation:D25
court-funds-authority-to-access-account	Court funds: authority to access account	https://www.gov.uk/government/publications/court-funds-authority-to-access-account	government-organisation:D18
creditdebit-card-authorisation-form	Credit/debit card authorisation form.	https://www.gov.uk/government/publications/creditdebit-card-authorisation-form	government-organisation:D13
operative-notice-of-delay	Right to Buy: operative notice of delay form (RTB8)	https://www.gov.uk/government/publications/operative-notice-of-delay	government-organisation:D4
get-proof-that-you-asked-a-court-to-protect-you-from-a-partner	Get proof that you asked a court to protect you from a partner	https://www.gov.uk/government/publications/get-proof-that-you-asked-a-court-to-protect-you-from-a-partner	government-organisation:EA556
appoint-a-person-authorised-to-represent-the-company-in-respect-of-the-uk-establishment-os-ap05	Appoint a permanent representative in respect of a UK establishment of an overseas company (OS AP05)	https://www.gov.uk/government/publications/appoint-a-person-authorised-to-represent-the-company-in-respect-of-the-uk-establishment-os-ap05	government-organisation:EA26
bats-report-action-taken-under-a-bat-survey-or-research-licence	Bats: report action taken under a bat survey or research licence	https://www.gov.uk/government/publications/bats-report-action-taken-under-a-bat-survey-or-research-licence	government-organisation:PB202
application-for-a-new-rod-licence-by-annual-direct-debit	Application for a new rod licence by annual direct debit	https://www.gov.uk/government/publications/application-for-a-new-rod-licence-by-annual-direct-debit	government-organisation:EA199
import-and-export-notification-of-exit-of-goods-c1602-departure	Import and export: notification of exit of goods (C1602 Departure)	https://www.gov.uk/government/publications/import-and-export-notification-of-exit-of-goods-c1602-departure	government-organisation:D25
standard-general-medical-services-contract	Standard General Medical Services Contract	https://www.gov.uk/government/publications/standard-general-medical-services-contract	government-organisation:D12
post-16-education-and-training-institutions-apply-for-financial-support-for-area-reviews	Further education area reviews: funding to restructure colleges	https://www.gov.uk/government/publications/post-16-education-and-training-institutions-apply-for-financial-support-for-area-reviews	government-organisation:D6
court-funds-transfer-of-a-fund	Court funds: transfer of a fund	https://www.gov.uk/government/publications/court-funds-transfer-of-a-fund	government-organisation:D18
tax-on-savings-application-for-approval-as-an-isa-manager	Tax on savings: application for approval as an ISA manager	https://www.gov.uk/government/publications/tax-on-savings-application-for-approval-as-an-isa-manager	government-organisation:D25
double-taxation-united-kingdomswitzerland-si-1978-number-1408-and-protocols-form-switzerland-individual	Double Taxation: UK/Switzerland (SI 1978 number 1408 and protocols) (Form Switzerland-Individual)	https://www.gov.uk/government/publications/double-taxation-united-kingdomswitzerland-si-1978-number-1408-and-protocols-form-switzerland-individual	government-organisation:D25
bats-licence-to-interfere-with-bat-roosts-cl21	Bats: licence to interfere with bat roosts (CL21)	https://www.gov.uk/government/publications/bats-licence-to-interfere-with-bat-roosts-cl21	government-organisation:PB202
fuel-duty-claim-for-fuel-duty-relief-ho81	Fuel Duty: claim Fuel Duty Relief (HO81)	https://www.gov.uk/government/publications/fuel-duty-claim-for-fuel-duty-relief-ho81	government-organisation:D25
keeping-wild-birds-registration-of-schedule-4-birds	Keeping wild birds: registration of Schedule 4 birds	https://www.gov.uk/government/publications/keeping-wild-birds-registration-of-schedule-4-birds	government-organisation:EA1079
application-for-commission-noticemutual-recognition--16	Application for commission notice/mutual recognition (vans and lgv)	https://www.gov.uk/government/publications/application-for-commission-noticemutual-recognition--16	government-organisation:EA80
revalidation-of-a-boastmasters-licence-msf-4365	Revalidation of a boatmasters' licence (MSF 4365)	https://www.gov.uk/government/publications/revalidation-of-a-boastmasters-licence-msf-4365	government-organisation:EA78
application-to-become-authorised-to-import-live-fish-and-shellfish-form-aah2	Form AAH2: Apply to be authorised to import live fish and shellfish	https://www.gov.uk/government/publications/application-to-become-authorised-to-import-live-fish-and-shellfish-form-aah2	government-organisation:EA53
vat-deferment-schedule-simplified-import-vat-accounting-reduced-security-siva2	VAT: deferment schedule - Simplified Import VAT Accounting reduced security (SIVA2)	https://www.gov.uk/government/publications/vat-deferment-schedule-simplified-import-vat-accounting-reduced-security-siva2	government-organisation:D25
application-to-change-or-cancel-details-of-a-lsr-psv355	Application to change or cancel details of an LSR (PSV355)	https://www.gov.uk/government/publications/application-to-change-or-cancel-details-of-a-lsr-psv355	government-organisation:PB465
hepatitis-viruses-investigation-request-form	Hepatitis viruses investigation request form	https://www.gov.uk/government/publications/hepatitis-viruses-investigation-request-form	government-organisation:EA480
af2-advocate-graduated-fee-redetermination-form	AF2: advocate graduated fee redetermination form	https://www.gov.uk/government/publications/af2-advocate-graduated-fee-redetermination-form	government-organisation:EA556
wr165-notice-to-transfer-a-water-abstraction-or-impoundment-licence	Water abstraction: transfer an abstraction or impoundment licence	https://www.gov.uk/government/publications/wr165-notice-to-transfer-a-water-abstraction-or-impoundment-licence	government-organisation:EA199
apply-for-an-award-of-appeal-costs-application-form	Apply for an award of appeal costs: application form	https://www.gov.uk/government/publications/apply-for-an-award-of-appeal-costs-application-form	government-organisation:EA39
efa-suppliers-bank-details-form	EFA and SFA suppliers' bank details form	https://www.gov.uk/government/publications/efa-suppliers-bank-details-form	government-organisation:EA242;government-organisation:EA86
company-tax-return-it-problems	Company Tax Return: IT problems (WT1)	https://www.gov.uk/government/publications/company-tax-return-it-problems	government-organisation:D25
approval-or-renewal-of-approval-for-a-rifle-or-pistol-club-application-form	Approval or renewal of approval for a rifle or pistol club: application form	https://www.gov.uk/government/publications/approval-or-renewal-of-approval-for-a-rifle-or-pistol-club-application-form	government-organisation:D16
support-for-a-child-who-is-informally-living-with-you	Support for a child who is informally living with you	https://www.gov.uk/government/publications/support-for-a-child-who-is-informally-living-with-you	government-organisation:D10;government-organisation:D25
motorcycle-trainer-standards-check-form	Motorcycle trainer standards check form	https://www.gov.uk/government/publications/motorcycle-trainer-standards-check-form	government-organisation:EA570
assumptions-log-template	Assumptions log template	https://www.gov.uk/government/publications/assumptions-log-template	government-organisation:D11
iopn-search-verify-identity-pn1id	IOPN search: verify identity (PN1ID)	https://www.gov.uk/government/publications/iopn-search-verify-identity-pn1id	government-organisation:D69
paye-national-insurance-contributions-settlement-return-nsr-appendix-7a	PAYE: National Insurance contributions settlement return (NSR Appendix 7A)	https://www.gov.uk/government/publications/paye-national-insurance-contributions-settlement-return-nsr-appendix-7a	government-organisation:D25
great-crested-newts-survey-or-research-licence-level-2	Great crested newts: survey or research licence (level 2)	https://www.gov.uk/government/publications/great-crested-newts-survey-or-research-licence-level-2	government-organisation:PB202
special-free-school-financial-template	Special free school financial template	https://www.gov.uk/government/publications/special-free-school-financial-template	government-organisation:D6
international-tax-uk-spain-double-taxation-convention-form-spain-company	International Tax: UK - Spain Double Taxation Convention (Form Spain-Company)	https://www.gov.uk/government/publications/international-tax-uk-spain-double-taxation-convention-form-spain-company	government-organisation:D25
notice-appeal-appeal-form	Notice appeals: appeal form and guidance	https://www.gov.uk/government/publications/notice-appeal-appeal-form	government-organisation:EA39
continuous-synopsis-record-csr-forms-and-guidance-msf-5623	Continuous synopsis record (CSR) forms and guidance (MSF 5623)	https://www.gov.uk/government/publications/continuous-synopsis-record-csr-forms-and-guidance-msf-5623	government-organisation:EA78
give-notice-of-progress-report-in-voluntary-winding-up-liq03	Give notice of progress report in voluntary winding up (LIQ03)	https://www.gov.uk/government/publications/give-notice-of-progress-report-in-voluntary-winding-up-liq03	government-organisation:EA26
zoo-inspections	Zoo inspections	https://www.gov.uk/government/publications/zoo-inspections	government-organisation:D7;government-organisation:EA1079
double-taxation-treaty-relief-form-dtindividual-sweden	Double Taxation: treaty relief (Form DT/Individual (Sweden))	https://www.gov.uk/government/publications/double-taxation-treaty-relief-form-dtindividual-sweden	government-organisation:D25
inheritance-tax-foreign-assets-d39	Inheritance Tax: foreign assets (D39)	https://www.gov.uk/government/publications/inheritance-tax-foreign-assets-d39	government-organisation:D25
statement-of-capital-when-reducing-capital-in-a-company-after-share-warrants-cancelled-sh19	Statement of capital when reducing capital in a company after share warrants cancelled (SH19)	https://www.gov.uk/government/publications/statement-of-capital-when-reducing-capital-in-a-company-after-share-warrants-cancelled-sh19	government-organisation:EA26
request-for-a-certified-copy-of-a-uk-trade-mark	Request for a certified copy of a UK trade mark	https://www.gov.uk/government/publications/request-for-a-certified-copy-of-a-uk-trade-mark	government-organisation:EA34
form-cto12-patient-capacity-to-consent-to-treatment	Form CTO12: patient capacity to consent to treatment	https://www.gov.uk/government/publications/form-cto12-patient-capacity-to-consent-to-treatment	government-organisation:D12
court-funds-ask-for-payment-to-payees-bank	Court funds: ask for payment to payee's bank	https://www.gov.uk/government/publications/court-funds-ask-for-payment-to-payees-bank	government-organisation:D18
measles-mumps-and-rubella-mmr-letter-for-parents-and-form-for-oral-fluid-swab	Measles, mumps, rubella: letter for parents and form for oral fluid swab	https://www.gov.uk/government/publications/measles-mumps-and-rubella-mmr-letter-for-parents-and-form-for-oral-fluid-swab	government-organisation:EA480
pension-schemes-application-for-a-certificate-of-residence-apss-146e	Pension schemes: application for a certificate of residence (APSS 146E)	https://www.gov.uk/government/publications/pension-schemes-application-for-a-certificate-of-residence-apss-146e	government-organisation:D25
birth-registration-name-confirmation-form	Birth registration name confirmation form	https://www.gov.uk/government/publications/birth-registration-name-confirmation-form	government-organisation:D13
contracted-out-pension-schemes-transfer-pension-rights-ca1887	Contracted-out pension schemes: transfer pension rights (CA1887)	https://www.gov.uk/government/publications/contracted-out-pension-schemes-transfer-pension-rights-ca1887	government-organisation:D25
vat-application-to-change-the-representative-member-of-a-vat-group-vat56	VAT: application to change the representative member of a VAT group (VAT56)	https://www.gov.uk/government/publications/vat-application-to-change-the-representative-member-of-a-vat-group-vat56	government-organisation:D25
court-funds-payment-schedule	Court funds: payment schedule	https://www.gov.uk/government/publications/court-funds-payment-schedule	government-organisation:D18
gor-online-system-spreadsheet	Waste returns spreadsheet for email returns	https://www.gov.uk/government/publications/gor-online-system-spreadsheet	government-organisation:EA199
import-and-export-single-administrative-document-c88-uk-transit	Import and export: Single Administrative Document (C88 (UK transit))	https://www.gov.uk/government/publications/import-and-export-single-administrative-document-c88-uk-transit	government-organisation:D25
winter-fuel-payment-claim-form-eea-and-switzerland	Winter Fuel Payment claim form: EEA and Switzerland	https://www.gov.uk/government/publications/winter-fuel-payment-claim-form-eea-and-switzerland	government-organisation:D10
pension-schemes-registration-for-income-tax-repayments-apss-146	Pension schemes: registration for Income Tax repayments (APSS146)	https://www.gov.uk/government/publications/pension-schemes-registration-for-income-tax-repayments-apss-146	government-organisation:D25
trade-union-recognition-make-an-application	Trade union recognition: make an application	https://www.gov.uk/government/publications/trade-union-recognition-make-an-application	government-organisation:PB148
disregarding-convictions-for-decriminalised-sexual-offences	Disregards and pardons for historical gay sexual convictions	https://www.gov.uk/government/publications/disregarding-convictions-for-decriminalised-sexual-offences	government-organisation:D16
referrals-to-specialist-domestic-violence-support-services-health-professionals	Referrals to specialist domestic violence support services: health professionals	https://www.gov.uk/government/publications/referrals-to-specialist-domestic-violence-support-services-health-professionals	government-organisation:EA556
pension-schemes-registered-pension-schemes-relief-at-source-interim-claims-apss-105	Pension schemes: registered pension schemes relief at source interim claims (APSS 105)	https://www.gov.uk/government/publications/pension-schemes-registered-pension-schemes-relief-at-source-interim-claims-apss-105	government-organisation:D25
give-notice-of-restriction-on-the-companys-articles-cc01	Give notice of restriction on the company's articles (CC01)	https://www.gov.uk/government/publications/give-notice-of-restriction-on-the-companys-articles-cc01	government-organisation:EA26
appendix-2-forum-of-mobility-centres	Disabled drivers - Forum of Mobility Centres	https://www.gov.uk/government/publications/appendix-2-forum-of-mobility-centres	government-organisation:EA74
self-assessment-lloyds-underwriters-sa103l	Self Assessment: Lloyd's underwriters (SA103L)	https://www.gov.uk/government/publications/self-assessment-lloyds-underwriters-sa103l	government-organisation:D25
get-a-copy-of-a-domestic-violence-conviction	Get a copy of a domestic violence conviction	https://www.gov.uk/government/publications/get-a-copy-of-a-domestic-violence-conviction	government-organisation:EA556
alternative-provision-free-school-applications	Apply to open an alternative provision free school	https://www.gov.uk/government/publications/alternative-provision-free-school-applications	government-organisation:D6
24-advanced-learning-loans-facility-adjustment-request-form	Advanced learner loans facility: change request	https://www.gov.uk/government/publications/24-advanced-learning-loans-facility-adjustment-request-form	government-organisation:EA86
individual-vehicle-approval-iva-ip	IVA application form: buses or coaches (IVA 1P)	https://www.gov.uk/government/publications/individual-vehicle-approval-iva-ip	government-organisation:EA570
overseas-pensions-payment-mandates	Overseas pensions payment mandates	https://www.gov.uk/government/publications/overseas-pensions-payment-mandates	government-organisation:D17
special-restricted-psv-operators-licence-application-psv356	Special restricted PSV operator’s licence application (PSV356)	https://www.gov.uk/government/publications/special-restricted-psv-operators-licence-application-psv356	government-organisation:PB465
chargeable-variation-of-a-psv-licence-psv431	Chargeable variation of a PSV licence (PSV431)	https://www.gov.uk/government/publications/chargeable-variation-of-a-psv-licence-psv431	government-organisation:PB465
sunset-clause-request-for-public-health-exemption	Sunset clause: request for public health exemption	https://www.gov.uk/government/publications/sunset-clause-request-for-public-health-exemption	government-organisation:EA63
contracted-out-pension-schemes-notice-of-increments-to-guaranteed-minimum-pensions-ca1597	Contracted-out pension schemes: notice of increments to Guaranteed Minimum Pensions (CA1597)	https://www.gov.uk/government/publications/contracted-out-pension-schemes-notice-of-increments-to-guaranteed-minimum-pensions-ca1597	government-organisation:D25
request-for-a-substantive-examination	Request for a substantive examination	https://www.gov.uk/government/publications/request-for-a-substantive-examination	government-organisation:EA34
exisiting-unilateral-notice-register-as-a-beneficiary-un3	Exisiting unilateral notice: register as a beneficiary (UN3)	https://www.gov.uk/government/publications/exisiting-unilateral-notice-register-as-a-beneficiary-un3	government-organisation:D69
pitch-fee-review-form-park-homes	Pitch fee review form: park homes	https://www.gov.uk/government/publications/pitch-fee-review-form-park-homes	government-organisation:D4
application-for-a-licence-to-keep-non-native-crayfish-form-cray2	Form CRAY2: Application for a licence to keep non native crayfish	https://www.gov.uk/government/publications/application-for-a-licence-to-keep-non-native-crayfish-form-cray2	government-organisation:EA53
excise-warehousing-remittance-advice-for-alcohol-goods-w5	Alcohol duties: remittance advice for alcohol goods (W5)	https://www.gov.uk/government/publications/excise-warehousing-remittance-advice-for-alcohol-goods-w5	government-organisation:D25
register-a-charge-to-secure-a-series-of-debentures-mr03	Register a charge to secure a series of debentures (MR03)	https://www.gov.uk/government/publications/register-a-charge-to-secure-a-series-of-debentures-mr03	government-organisation:EA26
import-and-export-designated-export-place-application-form-ce42	Import and export: Designated Export Place application form (C&E42)	https://www.gov.uk/government/publications/import-and-export-designated-export-place-application-form-ce42	government-organisation:D25
collective-passport-nationality-questionnaire-and-parental-consent-for-children-born-outside-the-uk	Collective passport nationality questionnaire and parental consent for children born outside the UK	https://www.gov.uk/government/publications/collective-passport-nationality-questionnaire-and-parental-consent-for-children-born-outside-the-uk	government-organisation:EA66
change-constitution-by-enactment-cc05	Change constitution by enactment (CC05)	https://www.gov.uk/government/publications/change-constitution-by-enactment-cc05	government-organisation:EA26
council-tax-requirement-return	Council Tax requirement return	https://www.gov.uk/government/publications/council-tax-requirement-return	government-organisation:D4
academy-land-questionnaires	Academy conversion: land questionnaires	https://www.gov.uk/government/publications/academy-land-questionnaires	government-organisation:D6
private-finance-initiative-pfi-academies-model-documents	Private finance initiative (PFI) academies: model documents	https://www.gov.uk/government/publications/private-finance-initiative-pfi-academies-model-documents	government-organisation:D6
rights-of-way-order-making-authority-checklist	Rights of way: order making authority checklist	https://www.gov.uk/government/publications/rights-of-way-order-making-authority-checklist	government-organisation:EA39
war-pension-application-for-review	War Pension: application for review	https://www.gov.uk/government/publications/war-pension-application-for-review	government-organisation:D17;government-organisation:OT1087
excise-movements-application-to-register-as-a-registered-commercial-importer-hm3	Excise movements: application to register as a Registered Commercial Importer (HM3)	https://www.gov.uk/government/publications/excise-movements-application-to-register-as-a-registered-commercial-importer-hm3	government-organisation:D25
give-notice-of-individual-person-with-significant-control-of-a-limited-liability-partnership-ll-psc01	Give notice of individual person with significant control of a limited liability partnership (LL PSC01)	https://www.gov.uk/government/publications/give-notice-of-individual-person-with-significant-control-of-a-limited-liability-partnership-ll-psc01	government-organisation:EA26
inheritance-tax-business-relief-business-or-partnership-interests-d38	Inheritance Tax: business relief, business or partnership interests (D38)	https://www.gov.uk/government/publications/inheritance-tax-business-relief-business-or-partnership-interests-d38	government-organisation:D25
diz1v-online-confidential-medical-information	DIZ1V: report your medical condition	https://www.gov.uk/government/publications/diz1v-online-confidential-medical-information	government-organisation:EA74
application-for-the-registration-of-land-as-a-town-or-village-green	Application for the registration of land as a town or village green	https://www.gov.uk/government/publications/application-for-the-registration-of-land-as-a-town-or-village-green	government-organisation:D7
remove-a-paid-off-mortgage-registration-ds2e	Remove a paid off mortgage: registration (DS2E)	https://www.gov.uk/government/publications/remove-a-paid-off-mortgage-registration-ds2e	government-organisation:D69
general-fund-revenue-account-budget	General fund revenue account budget	https://www.gov.uk/government/publications/general-fund-revenue-account-budget	government-organisation:D4
mot-test-stations-pay-for-mot-test-slots-by-cheque-or-postal-order	MOT test stations: pay for MOT test slots by cheque or postal order	https://www.gov.uk/government/publications/mot-test-stations-pay-for-mot-test-slots-by-cheque-or-postal-order	government-organisation:EA570
request-for-rental-information-self-catering-holiday-homes	VO 6048 request for rental information: self catering holiday homes	https://www.gov.uk/government/publications/request-for-rental-information-self-catering-holiday-homes	government-organisation:EA87
aud1-online-confidential-medical-information	AUD1: report your medical condition	https://www.gov.uk/government/publications/aud1-online-confidential-medical-information	government-organisation:EA74
request-to-opt-out-of-receiving-your-paye-annual-tax-summary	Request to opt out of receiving your PAYE annual tax summary	https://www.gov.uk/government/publications/request-to-opt-out-of-receiving-your-paye-annual-tax-summary	government-organisation:D25
request-for-a-retrospective-extension-of-time	Request for a retrospective extension of time	https://www.gov.uk/government/publications/request-for-a-retrospective-extension-of-time	government-organisation:EA34
excise-warehousing-storage-and-distribution-warehouse-application-for-approvalamendment-ex68	Excise warehousing: storage and distribution warehouse application for approval/amendment (EX68)	https://www.gov.uk/government/publications/excise-warehousing-storage-and-distribution-warehouse-application-for-approvalamendment-ex68	government-organisation:D25
social-services-departments-evidence-of-child-abuse-assessments-or-child-protection-plans	Child abuse assessments or protection plans: sample letter	https://www.gov.uk/government/publications/social-services-departments-evidence-of-child-abuse-assessments-or-child-protection-plans	government-organisation:EA556
change-of-personal-circumstances-questionnaire-financial-issues	Change of personal circumstances questionnaire: financial issues	https://www.gov.uk/government/publications/change-of-personal-circumstances-questionnaire-financial-issues	government-organisation:D17
pet-travel-report-of-non-compliant-certificate	Pet travel: reporting non-compliance with the PETS regulations	https://www.gov.uk/government/publications/pet-travel-report-of-non-compliant-certificate	government-organisation:EA1079
otters-apply-for-a-mitigation-licence	Otters: apply for a mitigation licence	https://www.gov.uk/government/publications/otters-apply-for-a-mitigation-licence	government-organisation:PB202
united-kingdom-animal-transport-certificate-and-contingency-plan-template-for-a-specific-journey	UK animal transport certificate and contingency plan for specific journey	https://www.gov.uk/government/publications/united-kingdom-animal-transport-certificate-and-contingency-plan-template-for-a-specific-journey	government-organisation:D7;government-organisation:EA1079
stamp-duty-land-tax-manual-62047-schedule-1	Stamp Duty Land Tax Manual 62047 Schedule (1)	https://www.gov.uk/government/publications/stamp-duty-land-tax-manual-62047-schedule-1	government-organisation:D25
import-and-export-information-sheet-inf3-returned-goods-ce1158	Import and export: Information sheet INF3 - returned goods (C&E1158)	https://www.gov.uk/government/publications/import-and-export-information-sheet-inf3-returned-goods-ce1158	government-organisation:D25
foreign-entertainers-tax-deduction-certificate-feu2	Foreign entertainers: tax deduction certificate (FEU2)	https://www.gov.uk/government/publications/foreign-entertainers-tax-deduction-certificate-feu2	government-organisation:D25
file-your-limited-liability-partnership-annual-return-ll-ar01	File your limited liability partnership annual return (LL AR01)	https://www.gov.uk/government/publications/file-your-limited-liability-partnership-annual-return-ll-ar01	government-organisation:EA26
import-and-export-apply-for-comprehensive-guarantee-and-other-simplifications-c1343	Import and Export: apply for Union Transit and other simplifications (C1343)	https://www.gov.uk/government/publications/import-and-export-apply-for-comprehensive-guarantee-and-other-simplifications-c1343	government-organisation:D25
